date,track,venue,state
2023-02-11,Toowoomba,Toowoomba,QLD
2023-02-11,Townsville,Townsville,QLD
2023-02-11,Yarra Glen,Yarra Glen,VIC
2023-02-12,Bendigo,Bendigo,VIC
2023-02-12,Naracoorte,Naracoorte,SA
2023-02-12,Sunshine Coast,Sunshine Coast,QLD
2023-02-12,Werribee,Werribee,VIC
2023-02-13,Stony Creek,Stony Creek,VIC
2023-02-14,Benalla,Benalla,VIC
2023-02-14,Mackay,Mackay,QLD
2023-02-15,Doomben,Doomben,QLD
2023-02-15,Sandown-Hillside,Sandown,VIC
2023-02-15,Strathalbyn,Strathalbyn,SA
2023-02-16,Ipswich,Ipswich,QLD
2023-02-16,Kingscote,Kingscote,SA
2023-02-16,Pakenham,Pakenham,VIC
2023-02-17,Moonee Valley,Moonee Valley,VIC
2023-02-17,Sunshine Coast,Sunshine Coast,QLD
2023-02-17,Wodonga,Wodonga,VIC
2023-02-18,Bendigo,Bendigo,VIC
2023-02-18,Eagle Farm,Eagle Farm,QLD
2023-02-18,Flemington,Flemington,VIC
2023-02-18,Gold Coast Poly,Gold Coast,QLD
2023-02-18,Home Hill,Home Hill,QLD
2023-02-18,Kingscote,Kingscote,SA
2023-02-18,Morphettville Parks,Morphettville,SA
2023-02-18,Rockhampton,Rockhampton,QLD
2023-02-18,Roma,Roma,QLD
2023-02-18,Toowoomba,Toowoomba,QLD
2023-02-18,Woolamai,Woolamai,VIC
2023-02-19,Ballarat,Ballarat,VIC
2023-02-19,Moe,Moe,VIC
2023-02-19,Port Lincoln,Port Lincoln,SA
2023-02-19,Sunshine Coast,Sunshine Coast,QLD
2023-02-20,Warrnambool,Warrnambool,VIC
2023-02-21,Stawell,Stawell,VIC
2023-02-21,Townsville,Townsville,QLD
2023-02-22,Eagle Farm,Eagle Farm,QLD
2023-02-22,Mt Gambier,Mt Gambier,SA
2023-02-22,Sale,Sale,VIC
2023-02-23,Gatton,Gatton,QLD
2023-02-23,Pakenham,Pakenham,VIC
2023-02-24,Kilmore,Kilmore,VIC
2023-02-24,Moonee Valley,Moonee Valley,VIC
2023-02-24,Rockhampton,Rockhampton,QLD
2023-02-25,Blackall,Blackall,QLD
2023-02-25,Doomben,Doomben,QLD
2023-02-25,Gold Coast Poly,Gold Coast,QLD
2023-02-25,Goondiwindi,Goondiwindi,QLD
2023-02-25,Mackay,Mackay,QLD
2023-02-25,Morphettville,Morphettville,SA
2023-02-25,Sandown-Hillside,Sandown,VIC
2023-02-25,Sandown-Lakeside,Sandown,VIC
2023-02-25,Toowoomba,Toowoomba,QLD
2023-02-25,Yarra Glen,Yarra Glen,VIC
2023-02-26,Ballarat,Ballarat,VIC
2023-02-26,Sunshine Coast,Sunshine Coast,QLD
2023-02-26,Terang,Terang,VIC
2023-02-27,Benalla,Benalla,VIC
2023-02-27,Thangool,Thangool,QLD
2023-02-28,Bendigo,Bendigo,VIC
2023-02-28,Townsville,Townsville,QLD
2023-03-01,Balaklava,Balaklava,SA
2023-03-01,Doomben,Doomben,QLD
2023-03-01,Sandown-Lakeside,Sandown,VIC
2023-03-02,Ipswich,Ipswich,QLD
2023-03-02,Kyneton,Kyneton,VIC
